 n	rar

=AVERAGE(A5:A1004)	=AVERAGE(B5:B1004)
Dijkstra	Floyd
5484760	7943380
4576788	7912719
4563367	7907472
4575498	7776981
4565379	8168412
4524731	7861831
4558398	7803945
4540739	8721607
4606303	8326077
4791681	8280241
4801858	8132059
4570175	8188765
4931704	7910373
4587564	7829102
4555291	7978012
4877499	7857188
4572676	7873462
4495634	7799648
4641595	7812342
4568890	7762146
4533963	7712869
4502216	7790552
4465225	7794886
3978991	7126942
3962623	7123738
3972738	7682313
4720472	7509407
4049824	7178860
4071876	7238937
4134037	7314220
4124284	7288967
4096259	
